epoch,lr,train_loss,train_dice_loss,train_bce_loss,val_loss,val_dice_loss,val_bce_loss,dice_wt,dice_tc,dice_et,mean_dice
1,0.001,0.22192342686875316,0.1897622279088672,0.03216119886707282,0.35157601446670966,0.3364981932437932,0.015077821593540547,0.9102859366387422,0.9145691339113116,0.8911004037707784,0.9053184914402773
2,0.001,0.11748120335209902,0.10298158668651358,0.014499616614287695,0.3388279777009159,0.32526041376758413,0.013567563807436756,0.9233101345011644,0.9150548689486266,0.8936340550900164,0.9106663528466026
3,0.001,0.10771105948609067,0.09446633440157054,0.013244725110586532,0.32105100758115096,0.3093298430065291,0.011721164266584743,0.9264257066997035,0.9303107496382345,0.9074323162332361,0.921389590857058
4,0.001,0.10149104265585548,0.0891349882162535,0.01235605450619958,0.32594822036026216,0.3124411463802869,0.013507074406831434,0.9204414591298571,0.9271696334020962,0.8915895917854875,0.9130668947724803
5,0.001,0.09780394289520054,0.0859121426824962,0.011891800185355494,0.31488006490940496,0.3032136359246627,0.011666428679394238,0.9295168048723917,0.9365288776037733,0.9102194206733003,0.9254217010498218
6,0.001,0.09361211494201618,0.0822259875641748,0.011386127352431089,0.3110427002787036,0.29990471400111884,0.011137985999038298,0.9322024244857685,0.9404668234012918,0.9109691778867315,0.9278794752579307
7,0.001,0.09133664629039989,0.08013024282482357,0.011206403474106062,0.31176190001723963,0.3000823658881287,0.011679533576494972,0.9280164573919969,0.9374603857983644,0.9150060066428147,0.9268276166110586
8,0.001,0.0883343117562419,0.07756113459518642,0.010773177166781745,0.3244983580519667,0.31271126015326456,0.011787098168535116,0.9316198201319618,0.9326640041963654,0.89884564186962,0.9210431553993157
9,0.001,0.08764623744624353,0.07694781810912771,0.01069841933019659,0.31695160716445175,0.30490550254987797,0.012046104113968321,0.9273122788744907,0.9262775959787478,0.9109956553701527,0.9215285100744638
10,0.001,0.08621468937736856,0.07578850353427326,0.010426185874515178,0.3037600054633142,0.293043269444695,0.010716736459980373,0.9355305800388448,0.942537099915213,0.9136344721428564,0.9305673840323047
11,0.001,0.0851645842607325,0.0748708056900417,0.01029377862213768,0.30122085573873547,0.29020937772078087,0.011011477782179363,0.9343026290052715,0.941905334074865,0.9192872519213425,0.9318317383338264
12,0.001,0.08375071650276412,0.07364039444874156,0.010110322051069973,0.30435175079924937,0.2924902830828173,0.011861467828069967,0.9299547447764293,0.9417650098696965,0.9139441260006942,0.9285546268822733
13,0.001,0.08242690629507228,0.07244297759624434,0.00998392871439621,0.3051066019697672,0.2943686900626984,0.010737912088880407,0.9339607261495559,0.9435460207161334,0.9153631693346221,0.930956638733437
14,0.001,0.08214125335698483,0.0722209685232903,0.009920284837213795,0.2992846091651796,0.2884468691574249,0.010837739906738302,0.9345378287346736,0.9462299471218851,0.9188635043001977,0.9332104267189187
15,0.001,0.07996364163517146,0.0702786167984711,0.009685024792620098,0.29607219183340366,0.28554992515539446,0.01052226673732111,0.9396354593890031,0.9456936386769161,0.9209389950953708,0.93542269772043
16,0.001,0.07904607992681668,0.06947444070183197,0.009571639295906839,0.2920606781471728,0.28179328255610153,0.010267395769262267,0.9395905950796992,0.9452443620496711,0.9192288539984482,0.9346879370426061
17,0.001,0.07869504950612542,0.06917994682969875,0.009515102671505665,0.2935096544200012,0.2828925349734601,0.010617119020075476,0.9383118686529319,0.947613149308612,0.9195742895843115,0.9351664358486186
18,0.001,0.07808493081787216,0.06869888426297283,0.009386046578162272,0.296089510256582,0.2855498959790016,0.010539613989824692,0.9377519361923136,0.9474527787363087,0.921212047984274,0.9354722543042988
19,0.001,0.07713576452778259,0.06791473179232468,0.009221032664938412,0.3003769686474679,0.2894537953655325,0.01092317336050709,0.9364737528827314,0.9466064523746974,0.9198415841103499,0.9343072631225929
20,0.001,0.07698647261074366,0.06770740135056862,0.009279071282766945,0.29117315830892404,0.28159639889470284,0.00957675969617792,0.9407609550403455,0.9489140795042802,0.9203391645733151,0.9366713997059803
21,0.001,0.07576739381538648,0.06665866366074691,0.009108730124092062,0.2909521980439252,0.2802311329495324,0.010721064759779528,0.9395203289722824,0.9476648326250204,0.923037064118488,0.9367407419052635
22,0.001,0.07518082893111962,0.06614088828142162,0.00903994069526949,0.29067846963364535,0.2808145771060533,0.009863891877414982,0.9402340919377665,0.949877373143786,0.924199564620403,0.9381036765673185
23,0.001,0.07466825978092545,0.0657010523852115,0.00896720742875925,0.2973749241902838,0.2867446319778314,0.010630291943265403,0.9384949502136197,0.946323242007617,0.9188428314106224,0.934553674543953
24,0.001,0.07357359580326046,0.06474270082970351,0.008830895004648757,0.3030901473865984,0.2918548328314755,0.011235314998279351,0.9398676250304252,0.9338175128234711,0.9138841693215586,0.9291897690584849
25,0.001,0.0734752575292552,0.06470620915955554,0.008769048353326137,0.2957387341799113,0.28531597685926974,0.010422757245885785,0.9374691118033232,0.9495489179449627,0.9154458896552273,0.9341546398011711
26,0.001,0.07224865523772536,0.06354903969375095,0.008699615498760818,0.29071866354587417,0.28063364596651635,0.010085017694375956,0.9411003367603764,0.9491277261309957,0.9244169785980404,0.9382150138298041
27,0.001,0.0722442471686528,0.06361688010085116,0.008627367040154526,0.2883998529959346,0.2782180518563801,0.0101818012412546,0.9410408077118367,0.9494873325364077,0.9207841102883311,0.9371040835121919
28,0.001,0.07193639692673404,0.06337394229427104,0.008562454660199567,0.29750543255500755,0.2872458464386833,0.010259585345239899,0.940745204848734,0.9451211329256426,0.9188602915047757,0.934908876426384
29,0.001,0.07106577677899602,0.06260509540184005,0.008460681323382806,0.29392623136694745,0.2838343740084553,0.010091857829817209,0.9387024801908717,0.9498319038247074,0.9220619551988569,0.936865446404812
30,0.001,0.07103646669740708,0.06260484974049589,0.00843161693534824,0.2965150250292375,0.2855279031794353,0.010987120999695399,0.9404944427474784,0.9445652261847886,0.9163809777469859,0.9338135488930842
31,0.001,0.06988676352219489,0.06153806839601739,0.0083486951376002,0.291181734337747,0.2810481599525938,0.010133574409513417,0.9399696331415823,0.9541085344237583,0.9206261356344372,0.9382347677332593
32,0.0005,0.07004602889171246,0.06178220970506691,0.008263819144861746,0.29076579301022515,0.28048230282474845,0.010283490018973796,0.940679332355642,0.9500022201443317,0.9201071220586134,0.9369295581861957
33,0.0005,0.06690619443675228,0.05901289267532458,0.007893301766482915,0.29180911645641294,0.2811760899924143,0.010633026916739948,0.9416273149308335,0.945694760759776,0.9193892864736157,0.9355704540547417
34,0.0005,0.06594769431425263,0.05817550139339268,0.007772192899296997,0.2870807629186794,0.2766306237547778,0.010450139754601562,0.9412366113476227,0.9495339404126109,0.9233783510077356,0.9380496342559898
35,0.0005,0.06564924806175337,0.0578872597391829,0.007761988334925175,0.28839408449279613,0.27822327261925484,0.010170812124790495,0.9417006511853862,0.9504460382857671,0.924423348372372,0.9388566792811751
36,0.0005,0.06534640511217686,0.057639788778500976,0.007706616324810619,0.29032205832586827,0.2791524554753876,0.011169603186340901,0.9413576144533703,0.9472881575798028,0.9229292305387944,0.9371916675239892
37,0.0005,0.06481446353288871,0.05715637687445412,0.0076580865837844285,0.2861117230715529,0.27556219973907514,0.010549523172945632,0.9420333174665421,0.9490216867154365,0.9234367442278709,0.9381639161366165
38,0.0005,0.06448028370121026,0.05687118660532501,0.007609097060275058,0.2882467678788093,0.27773044934090774,0.01051631835646553,0.9415124161065433,0.9501136437397728,0.9243110995561077,0.9386457198008079
39,0.0005,0.06422788753287667,0.05664245787002658,0.007585429668606175,0.29090711150300597,0.2802136013670604,0.010693509930487328,0.939766590529079,0.9496704895316028,0.9248619598622881,0.9380996799743233
40,0.0005,0.06386821478346157,0.05633882770345412,0.0075293870902520856,0.29366712143135343,0.2828595455419111,0.010807576089417053,0.9385597507869865,0.9509262362374356,0.9209432866651434,0.9368097578965218
41,0.00025,0.06368893275800491,0.05619996150073177,0.007488971258495944,0.2882926091917147,0.27769669091790733,0.010595918336078782,0.9407243718587501,0.949141881924405,0.9227839299308225,0.9375500612379924
42,0.00025,0.06182136134069045,0.05453366635199483,0.007287695008513854,0.28739945418581775,0.27710465659674777,0.010294797431866513,0.9412807987408887,0.9516145758589935,0.9252622717121647,0.9393858821040156
43,0.00025,0.06158870101713724,0.054319935372149325,0.007268765669436365,0.29146964275378506,0.28056240735407534,0.010907235097336338,0.9412057497251365,0.9516299029675562,0.9193015379087365,0.9373790635338097
44,0.00025,0.061564726888576095,0.054331801739863496,0.00723292512855139,0.287503492269328,0.27689256364856324,0.010610928641001102,0.9404093935022559,0.9504045172897068,0.9249053378744806,0.9385730828888145
45,0.00025,0.061911897280896154,0.05472501014235018,0.007186887133103047,0.28862577800709044,0.278234783143232,0.010390994360263377,0.9411366290215734,0.9511413496916061,0.9203682493813667,0.937548742698182
46,0.00025,0.0611755877478412,0.05399170863656351,0.0071838791395660165,0.29009936060066577,0.2790337253392227,0.011065635471994168,0.9407214371895444,0.9485755809127175,0.9238041843835343,0.9377004008285987
47,0.00025,0.06064304786070961,0.053518050348250586,0.007124997500231074,0.2870148625015705,0.2763652496404272,0.010649612405787972,0.9419373006857386,0.9496654385402921,0.9226594840796795,0.93808740776857
48,0.000125,0.060621924416930976,0.053490705878085534,0.00713121849398973,0.2874436296685109,0.2770838939006336,0.010359735864762408,0.9411881805884197,0.9524289320998902,0.9235631651731985,0.9390600926205028
49,0.000125,0.060229031915888305,0.053166739649539316,0.0070622922838558325,0.28730020138071743,0.2763413118922275,0.010958889921039924,0.9414445721731086,0.9512247374438076,0.9235082783855622,0.9387258626674928
50,0.000125,0.06033497397253209,0.053320428414685615,0.00701454560176272,0.28653321831318496,0.27575701927812596,0.010776199358930684,0.9413319198209025,0.9499752482551496,0.9247499113709003,0.9386856931489841
51,0.000125,0.05950274799152353,0.0525000390909276,0.007002708934535954,0.28899925505481144,0.27788241751033393,0.011116837508872377,0.9406571490361929,0.9496171555156601,0.9229225623140469,0.9377322889552998
52,0.000125,0.05982198267740884,0.05284645568047251,0.006975526976954064,0.28711850737922345,0.2762986399768891,0.010819867619510766,0.9413855422197998,0.9488518819199656,0.9218234156371176,0.9373536132589609
53,0.000125,0.0594508233762144,0.05247702906468028,0.006973794330711119,0.2871829022502327,0.2759699678123728,0.011212934184447364,0.9403290972193346,0.9486514834886939,0.9232016150266408,0.9373940652448898
54,6.25e-05,0.05895727212825418,0.0520112581722147,0.00694601399217159,0.28803856150594614,0.2767658984238816,0.011272663089996816,0.9413394424892122,0.9488344389562772,0.9218825675302335,0.9373521496585743
55,6.25e-05,0.05896721250048425,0.052058168911592616,0.006909043594409126,0.2867684049383027,0.2759408940892709,0.010827510607292317,0.9408606465336101,0.9513132411434793,0.9236577807305324,0.938610556135874
56,6.25e-05,0.05911482539779859,0.05219198375034619,0.006922841637595473,0.2877785607332075,0.27682200173806154,0.010956559020805714,0.9411709906312853,0.9491481725998698,0.924388786495494,0.9382359832422164
57,6.25e-05,0.05882200228871891,0.05192836486446139,0.006893637429230717,0.28719615669658316,0.2763647785616284,0.010831377915269445,0.9408171576431432,0.9515254572122156,0.923218593773808,0.938520402876389
58,6.25e-05,0.05884421501814141,0.05196305198117918,0.006881163024614981,0.28550389347722227,0.2744648579509508,0.011039036022106976,0.9417082366581853,0.9497999801148179,0.9252751120997367,0.9389277762909133
59,6.25e-05,0.05896730065817226,0.05208805212003336,0.006879248533038948,0.28720538741500934,0.27635310780353617,0.010852279160369453,0.9414990764214088,0.9519909478164015,0.9244142542953513,0.9393014261777205
60,3.125e-05,0.058522933143452506,0.0516614730539045,0.0068614601290949975,0.28478518073205594,0.27407567386977794,0.010709507011594283,0.9415249734419806,0.9523742382515565,0.9243741146302671,0.9394244421079346
61,3.125e-05,0.05846158357649497,0.051621810157708205,0.006839773371813534,0.28588183897724456,0.2749030609037172,0.010978777908992538,0.941075625857589,0.9508180474618403,0.9245475293762572,0.9388137342318954
62,3.125e-05,0.058669632572910836,0.05182122946683591,0.006848403125699298,0.2865830970436992,0.27569056179623,0.010892535099813,0.9411848399792195,0.9517942667668534,0.9241487265855785,0.9390426111105504
63,3.125e-05,0.058553777327311006,0.05171690288930296,0.00683687444015539,0.28751248090974685,0.2766727143632995,0.010839766690430372,0.9407319568970645,0.9504683115806606,0.9235657958586473,0.9382553547787907
64,3.125e-05,0.05817373543543496,0.05135288306038001,0.006820852383942583,0.28848559045071664,0.27736440242771365,0.011121188169239496,0.9408633366171176,0.950387060725686,0.9219848132546427,0.9377450701991488
65,3.125e-05,0.058043682731409585,0.05122439745250168,0.006819285295191956,0.2867064282917287,0.27596402779204227,0.010742400927218666,0.9409657626370973,0.9509950506376064,0.9234034255774987,0.9384547462840674
66,1.5625e-05,0.05841617775538105,0.05159826692260911,0.006817910821960638,0.2866489571869058,0.27576382681756256,0.01088513059676552,0.9407913029003068,0.9512773595235847,0.9235947854282508,0.9385544826173807
67,1.5625e-05,0.05812743373753706,0.051315043552835296,0.0068123901748000995,0.2867224903483747,0.2756947114667534,0.011027778319946332,0.9411903496855855,0.9501821622689579,0.9237293042038973,0.9383672720528136
68,1.5625e-05,0.058728749354852165,0.05193265534191298,0.0067960939841885904,0.28615680567325047,0.2753210550580106,0.010835750519676843,0.9406732471957432,0.9516185775662341,0.9234420762906005,0.9385779670175259
69,1.5625e-05,0.05844023602609008,0.051634631745351905,0.006805604324848272,0.28670798113156415,0.2756671785302571,0.011040802403480671,0.9410706644328177,0.9513452649979772,0.9232956488104762,0.9385705260804237
70,1.5625e-05,0.05767236183872483,0.050871798861273756,0.006800562958870552,0.28590763623229243,0.27526239534665237,0.01064524137551884,0.9408850060583583,0.9525202063598792,0.9248147972967504,0.939406669904996
71,1.5625e-05,0.05770237323892969,0.050903965681614746,0.006798407504227738,0.2872036059407099,0.27632848772291585,0.010875118093656808,0.9405171152606903,0.9521961612307844,0.9233395251996911,0.9386842672303887
72,7.8125e-06,0.05845913134137591,0.05166765586525687,0.006791475461657989,0.28731265603911416,0.2762998009550293,0.011012855829133913,0.9404635714885247,0.9518048604952716,0.9232288105564522,0.9384990808467495
73,7.8125e-06,0.0578912330263047,0.05110942977631352,0.006781803261361684,0.2866094490251921,0.27580253596339843,0.01080691366147751,0.9409351131082194,0.9518948916164157,0.9236793005992758,0.9388364351079703
74,7.8125e-06,0.0585049408298502,0.051714237565121314,0.0067907032583763155,0.28657173353720516,0.27589888077872016,0.010672853050657566,0.9411008050149624,0.9521554360310797,0.9228448251255338,0.9387003553905253
75,7.8125e-06,0.05793204823387235,0.051143901621070534,0.006788146636079666,0.28663071890114383,0.27596601028394846,0.010664708187364586,0.9410576547172274,0.9524183569218212,0.9234779472373582,0.9389846529588022
76,7.8125e-06,0.0578045318753809,0.05102904582944976,0.006775486032331269,0.2862932236079386,0.2754955802635387,0.010797643444154367,0.9410026401296764,0.9515758486095471,0.9240360149832916,0.9388715012408384
77,7.8125e-06,0.05812684918822727,0.051328543109432946,0.006798306070413696,0.28743379825483617,0.27622454007132036,0.011209258586199538,0.9406094940805056,0.9509867563373774,0.9230101850590671,0.9382021451589834
78,3.90625e-06,0.05786101167705601,0.05107359302704057,0.006787418665859587,0.28594138624033844,0.27517064582522355,0.010770740892359156,0.9412197617004284,0.9520884717367577,0.9233254660991204,0.9388778998454356
79,3.90625e-06,0.057872022328636516,0.05108856482917249,0.006783457514942818,0.28695707303994794,0.27587417382850293,0.011082899073396152,0.9406715613238278,0.9514120247864877,0.9235375320462663,0.9385403727188605
80,3.90625e-06,0.057971079110417816,0.05120050477438813,0.006770574343515578,0.2867042268071733,0.27594760846808614,0.010756617981578388,0.9409546464776518,0.9523814886212991,0.9241377404042147,0.9391579585010552
